account,total_pnl,avg_pnl,trades,wins,win_rate,pnl_std,avg_size_usd
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,145.48174829898866,14733,4967,0.3371343243059798,1374.0264020518673,3837.8853750084845
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,419.1277684596647,3818,1373,0.3596123624934521,4692.452328769463,16159.576733892092
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.8062200001,44.364090516232544,21192,9909,0.46758210645526616,567.7627628499158,3210.4728312570787
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,68.68441935403726,12236,4909,0.40119320039228507,639.4024436908081,34396.58028440667
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,20.806304824731235,40184,17208,0.428230141349791,264.12388031602194,1844.2118863229146
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.0506429999,155.58931373806243,4356,2118,0.48622589531680444,855.3540027082514,9084.699093204776
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.56591500004,270.0349471163522,1590,550,0.34591194968553457,2525.24043723483,7216.66724528302
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,336.735547567502,1237,599,0.48423605497170574,1649.4975803457905,2397.8247534357315
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,281.8262266846154,1430,438,0.3062937062937063,1591.5239576534275,2133.6673636363635
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,38.3195599627009,9893,8022,0.8108763772364298,172.5207734176259,2600.7780491256444
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,40.740489150316456,7584,2733,0.3603639240506329,656.693628217239,17098.171054852322
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.06185300002,83.49831952025748,2641,865,0.32752745172283226,1530.5250331047503,7852.098337750851
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.59273200002,520.9023308929504,383,90,0.2349869451697128,2228.3361402827395,5189.3671279373375
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.00499400002,52.071011112689106,3239,1684,0.5199135535659154,255.82909123366824,3138.894782340228
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,9.951529904139434,13311,5838,0.43858462925400044,113.269352645943,507.6269326121253
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,41.47409637418087,3052,871,0.2853866317169069,220.38773483389994,3601.689298820446
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,111.51919668923077,975,421,0.4317948717948718,468.9959817825796,746.7256512820513
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,6.81210350887536,15605,5396,0.3457866068567767,68.23490362182285,1273.1950003204101
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.71616099999,12.13096797288414,8519,3011,0.35344524005164923,88.29284150392269,517.5289235825802
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,174.6918088057554,417,239,0.5731414868105515,976.0687513600008,2066.689208633093
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,120.50731710657195,563,230,0.40852575488454707,474.8098365007934,2979.441776198934
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.65790600001,34.282395555206705,1911,631,0.33019361590790164,325.7556097133609,6279.002286760859
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243000005,161.13327482831326,332,158,0.4759036144578313,1279.8557881354636,3445.471265060241
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.32051399999,6.577653916758241,7280,3223,0.4427197802197802,134.07347277629344,1653.2263269230768
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976000005,2.9281910238698496,14998,3929,0.26196826243499133,68.61304094801775,820.4285131350847
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4.648305254443986,4838,2122,0.4386109962794543,332.08340539085845,22504.5558288549
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753000002,40.74687594194757,534,172,0.32209737827715357,288.2661238618958,8330.193370786517
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,9.557692781911483,1559,705,0.45221295702373315,72.56119523718134,3748.8675112251444
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999999,4.02811906826414,3589,1176,0.32766787405962666,730.49548364437,4790.575486207857
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986000005,-38.28662574969326,815,371,0.45521472392638035,558.7787526232371,1729.9411042944785
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,-18.49204287687057,3809,1150,0.3019165135206091,542.182659294162,8893.000897873459
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.12478099996,-36.431455070854156,4601,1761,0.38274288198217776,1647.778984205598,2204.685531406216
